"dpto","code","mpio","year","periodo","crop","harvested","prod","yield","NA"
"SANTANDER",68895,"ZAPATOCA","CAFE",2007,"2007",750.41,750,525,0.7
"SANTANDER",68255,"EL PLAYON","CAFE",2007,"2007",697.55,580,406,0.7
"SANTANDER",68669,"SAN ANDRES","CAFE",2007,"2007",677.09,655,737,1.12519083969466
"SANTANDER",68092,"BETULIA","CAFE",2007,"2007",666.78,631,610.2,0.967036450079239
"SANTANDER",68296,"GALAN","CAFE",2007,"2007",656.35,652,489,0.75
"SANTANDER",68209,"CONFINES","CAFE",2007,"2007",615.14,460,258,0.560869565217391
"SANTANDER",68001,"BUCARAMANGA","CAFE",2007,"2007",609.91,378,254,0.671957671957672
"SANTANDER",68077,"BARBOSA","CAFE",2007,"2007",601.57,420,630,1.5
"SANTANDER",68324,"GUAVATA","CAFE",2007,"2007",585.26,450,173,0.384444444444444
"SANTANDER",68276,"FLORIDABLANCA","CAFE",2007,"2007",567.48,535,388,0.725233644859813
"SANTANDER",68464,"MOGOTES","CAFE",2007,"2007",540,540,474,0.877777777777778
"SANTANDER",68745,"SIMACOTA","CAFE",2007,"2007",539.09,473,283.8,0.6
"SANTANDER",68079,"BARICHARA","CAFE",2007,"2007",512.38,485,424.37,0.874989690721649
"SANTANDER",68020,"ALBANIA","CAFE",2007,"2007",502.57,418,251,0.600478468899522
"SANTANDER",68271,"FLORIAN","CAFE",2007,"2007",439.03,401,281,0.70074812967581
"SANTANDER",68820,"TONA","CAFE",2007,"2007",431.95,291,264,0.907216494845361
"SANTANDER",68344,"HATO","CAFE",2007,"2007",428.76,364,373,1.02472527472527
"SANTANDER",68368,"JESUS MARIA","CAFE",2007,"2007",421.29,340,272,0.8
"SANTANDER",68547,"PIEDECUESTA","CAFE",2007,"2007",388.31,115,57,0.495652173913044
"SANTANDER",68211,"CONTRATACION","CAFE",2007,"2007",322,322,280,0.869565217391304
"SANTANDER",68524,"PALMAS DEL SOCORRO","CAFE",2007,"2007",318.71,280,224,0.8
"SANTANDER",68322,"GUAPOTA","CAFE",2007,"2007",303.25,195,280,1.43589743589744
"SANTANDER",68861,"VELEZ","CAFE",2007,"2007",271.65,120,96,0.8
"SANTANDER",68307,"GIRON","CAFE",2007,"2007",267.6,140,120,0.857142857142857
"SANTANDER",68406,"LEBRIJA","CAFE",2007,"2007",240,240,150,0.625
"SANTANDER",68418,"LOS SANTOS","CAFE",2007,"2007",175.39,75,52,0.693333333333333
"SANTANDER",68264,"ENCINO","CAFE",2007,"2007",160,160,176,1.1
"SANTANDER",68773,"SUCRE","CAFE",2007,"2007",152.94,50,30,0.6
"SANTANDER",68673,"SAN BENITO","CAFE",2007,"2007",150.91,140,56,0.4
"SANTANDER",68377,"LA BELLEZA","CAFE",2007,"2007",138.61,135,90,0.666666666666667
"SANTANDER",68101,"BOLIVAR","CAFE",2007,"2007",110,110,40,0.363636363636364
"SANTANDER",68327,"GUEPSA","CAFE",2007,"2007",108.29,64,45,0.703125
"SANTANDER",68780,"SURATA","CAFE",2007,"2007",97.17,80,40,0.5
"SANTANDER",68385,"LANDAZURI","CAFE",2007,"2007",85.4,85,68,0.8
"SANTANDER",68705,"SANTA BARBARA","CAFE",2007,"2007",85.01,69,27,0.391304347826087
"SANTANDER",68245,"EL GUACAMAYO","CAFE",2007,"2007",72,55,72,1.30909090909091
"SANTANDER",68169,"CHARTA","CAFE",2007,"2007",70,70,38,0.542857142857143
"SANTANDER",68872,"VILLANUEVA","CAFE",2007,"2007",66.68,62,44,0.709677419354839
"SANTANDER",68370,"JORDAN","CAFE",2007,"2007",54.96,45,38,0.844444444444444
"SANTANDER",68179,"CHIPATA","CAFE",2007,"2007",54.23,45,58.5,1.3
"SANTANDER",68013,"AGUADA","CAFE",2007,"2007",50.15,40,24,0.6
"SANTANDER",68298,"GAMBITA","CAFE",2007,"2007",48.96,45,35,0.777777777777778
"SANTANDER",68502,"ONZAGA","CAFE",2007,"2007",27.59,25,12.5,0.5
"SANTANDER",68397,"LA PAZ","CAFE",2007,"2007",23,23,21,0.91304347826087
"SANTANDER",68684,"SAN JOSE DE MIRANDA","CAFE",2007,"2007",17,17,9,0.529411764705882
"SANTANDER",68682,"SAN JOAQUIN","CAFE",2007,"2007",14.73,14.73,11.784,0.8
"SANTANDER",68468,"MOLAGAVITA","CAFE",2007,"2007",4,0,0,NA
"SANTANDER",68121,"CABRERA","CAFE",2007,"2007",3.87,3.37,2.3,0.682492581602374
"SANTANDER",68266,"ENCISO","CAFE",2007,"2007",2,2,1,0.5
"SANTANDER",68160,"CEPITA","CAFE",2007,"2007",1.2,1.2,1.8,1.5
"TOLIMA",73411,"LIBANO","CAFE",2007,"2007",8873,7586,10138,1.33640917479568
"TOLIMA",73555,"PLANADAS","CAFE",2007,"2007",8601,7893,10141,1.2848093247181
